,‰ª£Á†Å,ÂêçÁß∞,Ê∂®ÂπÖ%%,Êî∂Áõò,Êàê‰∫§Èáè,ÊÄªÈáëÈ¢ù,QSYJS0,DYX0,WYX0,WTP0,DTP1,WTP1,DTP2,WTP2,MKDJS0,SD,ED,TO,TC,QJZF
2013-11-15,="002081",Ω Û´ ÚÎ,3.17,13.69,  782.1ÕÚ,  1.63“⁄,1.000,2.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,1131115.0,1131122.0,13.690,13.710,0.146
2014-01-21,="000671",—Ù π‚ ≥«,6.54,3.26,  648.6ÕÚ, 5221ÕÚ,16.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,1140121.0,1140127.0,3.260,3.600,10.429
2014-02-10,="000820",Ω≥«π…∑›,1.62,7.53,  298.2ÕÚ, 2235ÕÚ,14.000,2.000,2.000,1.000,0.000,0.000,0.000,0.000,0.000,1140210.0,1140213.0,7.530,7.620,1.195
2014-03-13,="002146",»Ÿ ¢∑¢’π,-2.81,4.85,   4231ÕÚ,  4.29“⁄,1.000,0.000,3.000,1.000,0.000,0.000,0.000,0.000,0.000,1140313.0,1140320.0,4.850,4.890,0.825
2014-03-13,="600315",…œ∫£º“ªØ,6.80,35.34,   1724ÕÚ,  6.25“⁄,1.000,1.000,2.000,1.000,1.000,0.000,0.000,0.000,0.000,1140313.0,1140320.0,35.340,33.680,-4.697
2014-03-21,="000671",—Ù π‚ ≥«,3.43,3.62,   4153ÕÚ,  3.75“⁄,18.000,3.000,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1140321.0,1140327.0,3.620,3.690,1.934
2014-04-02,="600433",π⁄∫¿∏ﬂ–¬,3.81,10.08,   1655ÕÚ,  1.68“⁄,14.000,3.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,1140402.0,1140403.0,10.080,10.390,3.075
2014-04-08,="002038",À´ÿ“©“µ,3.27,26.23,  337.4ÕÚ,  1.32“⁄,17.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,1140408.0,1140414.0,26.230,27.710,5.642
2014-04-08,="600119",≥§Ω≠Õ∂◊ ,0.08,12.26,  512.7ÕÚ, 6289ÕÚ,9.000,3.000,2.000,1.000,0.000,0.000,0.000,0.000,0.000,1140408.0,1140414.0,12.260,12.690,3.507
2014-04-08,="600648",Õ‚∏ﬂ«≈,1.00,28.15,  449.4ÕÚ,  1.27“⁄,8.000,2.000,2.000,1.000,0.000,0.000,0.000,0.000,0.000,1140408.0,1140414.0,28.150,28.730,2.060
2014-05-22,="300056",»˝Œ¨Àø,-1.26,6.26,  332.7ÕÚ, 6930ÕÚ,7.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,1140522.0,1140529.0,6.260,7.440,18.850
2014-05-22,="002052",Õ¨÷ﬁµÁ◊”,0.39,7.71,   2222ÕÚ,  1.74“⁄,13.000,3.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,1140522.0,1140529.0,7.710,8.470,9.857
2014-05-22,="300014",“⁄Œ≥ÔÆƒ‹,-1.52,14.95,  977.9ÕÚ,  1.50“⁄,12.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,1140522.0,1140529.0,14.950,15.830,5.886
