代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股本(万)	
000001	平安银行	-1.62	9.71	-0.16	9.72	9.73	294865	128	-0.81	          0.25	9.93	9.98	9.71	9.87	     5.87	290360928	  1.09	银行	深圳	2.74	9.85	142228	152636	  0.93	13	4	--  	    1180405.50	
000002	万  科Ａ	--  	24.43	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	24.43	    29.51	0	  0.00	全国地产	深圳	0.00	24.43	0	0	--  	0	0	--  	     970832.75	
000004	国农科技	-7.25	26.50	-2.07	26.43	26.50	24197	8	-0.93	          2.88	28.48	28.99	26.00	28.57	   702.28	65588856	  2.00	生物制药	深圳	10.47	27.11	11592	12604	  0.92	1	14	--  	       8387.54	
000005	世纪星源	-6.59	6.38	-0.45	6.36	6.37	138877	4	-1.23	          1.52	6.86	6.96	6.36	6.83	--  	91816904	  1.06	区域地产	深圳	8.78	6.61	73903	64974	  1.14	37	109	--  	      91374.29	
000006	深振业Ａ	-8.88	6.77	-0.66	6.76	6.77	134356	1	-1.88	          1.00	7.44	7.50	6.73	7.43	    24.76	95183832	  1.69	区域地产	深圳	10.36	7.08	71860	62496	  1.15	10	26	--  	     134148.73	
000007	零七股份	--  	23.79	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	23.79	--  	0	  0.00	酒店餐饮	深圳	0.00	23.79	0	0	--  	0	0	--  	      20588.71	
000008	神州高铁	-4.73	7.85	-0.39	7.85	7.86	79044	5	-1.38	          0.60	8.26	8.40	7.85	8.24	   148.05	63896628	  0.88	运输设备	北京	6.67	8.08	50602	28442	  1.78	10	78	--  	     132002.28	
000009	中国宝安	-8.28	10.52	-0.95	10.51	10.52	384458	242	-2.04	          2.58	11.41	11.55	10.51	11.47	    18.48	425006336	  1.37	全国地产	深圳	9.07	11.05	195683	188774	  1.04	2278	765	--  	     148966.91	
000010	深华新	-7.40	7.38	-0.59	7.38	7.39	114408	100	-1.20	          2.80	8.00	8.13	7.28	7.97	  1640.78	86814800	  1.06	建筑施工	北京	10.66	7.59	62255	52152	  1.19	256	107	--  	      40792.98	
000011	深物业A	-8.24	8.80	-0.79	8.78	8.80	36870	20	-1.89	          2.10	9.60	9.80	8.63	9.59	    84.67	33500906	  1.11	区域地产	深圳	12.20	9.09	20295	16575	  1.22	5	291	--  	      17586.25	
000012	南  玻Ａ	0.00	9.30	0.00	9.30	9.31	172521	85	-0.74	          1.32	9.20	9.55	9.20	9.30	    36.73	162075200	  0.96	玻璃	深圳	3.76	9.39	88478	84043	  1.05	542	9	--  	     130255.21	
000014	沙河股份	-5.30	15.00	-0.84	14.99	15.00	25713	6	-1.70	          1.27	15.84	16.19	14.90	15.84	--  	40042720	  0.75	全国地产	深圳	8.14	15.57	14176	11537	  1.23	1	162	--  	      20170.51	
000016	深康佳Ａ	-7.62	4.12	-0.34	4.12	4.13	302808	19	-2.36	          2.52	4.45	4.65	4.11	4.46	--  	134077240	  1.38	家用电器	深圳	12.11	4.43	158955	143852	  1.10	624	220	--  	     119982.99	
000017	深中华A	-4.17	9.88	-0.43	9.88	9.89	36279	9	-0.80	          1.20	10.11	10.37	9.82	10.31	  7592.43	36351828	  0.91	文教休闲	深圳	5.33	10.02	21914	14364	  1.53	220	52	--  	      30297.88	
000018	神州长城	-8.77	39.41	-3.79	39.41	39.43	42238	1	-0.05	          4.24	43.59	43.98	38.90	43.20	    54.47	170410672	  1.68	装修装饰	深圳	11.76	40.35	22522	19715	  1.14	20	18	--  	       9972.04	
000019	深深宝Ａ	-4.87	9.96	-0.51	9.95	9.96	47244	4	-0.39	          1.87	10.38	10.57	9.88	10.47	--  	47674672	  1.23	软饮料	深圳	6.59	10.09	28917	18327	  1.58	2332	125	--  	      25225.24	
000020	深华发Ａ	-9.45	21.37	-2.23	21.36	21.37	49114	1	-0.83	          2.71	24.00	24.30	21.30	23.60	   226.98	110052992	  1.29	元器件	深圳	12.71	22.41	26375	22739	  1.16	1	49	--  	      18116.53	
000021	深科技	-0.75	7.94	-0.06	7.93	7.94	121161	2	-1.36	          0.82	8.02	8.16	7.80	8.00	    62.43	96911816	  1.23	电脑设备	深圳	4.50	8.00	59944	61216	  0.98	151	125	--  	     146981.44	
000022	深赤湾Ａ	-5.82	12.29	-0.76	12.28	12.29	14163	3	-0.96	          0.30	13.05	13.20	12.28	13.05	    14.23	18003934	  1.12	港口	深圳	7.05	12.71	8491	5672	  1.50	74	55	--  	      46486.73	
000023	深天地Ａ	--  	30.53	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	30.53	   116.62	0	  0.00	建筑施工	深圳	0.00	30.53	0	0	--  	0	0	--  	      13875.62	
000025	特  力Ａ	-5.58	68.00	-4.02	68.00	68.02	41519	77	-2.43	          2.32	74.20	74.99	68.00	72.02	   810.98	297930272	  0.86	汽车服务	深圳	9.71	71.76	21801	19718	  1.11	82	11	--  	      17929.46	
000026	飞亚达Ａ	-7.76	9.99	-0.84	9.98	9.99	38432	32	-1.67	          1.24	10.80	10.93	9.99	10.83	    30.83	39894624	  1.02	其他商业	深圳	8.68	10.38	27430	11002	  2.49	2	90	--  	      31107.00	
000027	深圳能源	-5.15	6.45	-0.35	6.45	6.46	110006	17	-0.92	          0.77	6.81	6.91	6.45	6.80	    12.07	72761568	  1.34	火力发电	深圳	6.76	6.61	59478	50527	  1.18	1	715	--  	     143752.50	
000028	国药一致	--  	66.15	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	66.15	    31.34	0	  0.00	医药商业	深圳	0.00	66.15	0	0	--  	0	0	--  	      23326.17	
000029	深深房Ａ	-7.45	7.45	-0.60	7.44	7.45	57720	74	-0.79	          0.65	8.08	8.14	7.38	8.05	    24.16	44161756	  1.48	区域地产	深圳	9.44	7.65	26975	30744	  0.88	10	76	--  	      89166.00	
000030	富奥股份	-5.25	6.32	-0.35	6.32	6.33	28093	1	-2.91	          0.50	6.64	6.74	6.32	6.67	    16.89	18483118	  0.90	汽车配件	吉林	6.30	6.58	15765	12328	  1.28	45	46	--  	      56056.17	
000031	中粮地产	-5.67	9.31	-0.56	9.31	9.32	214687	32	-2.20	          1.18	9.96	10.18	9.30	9.87	    23.60	208334864	  1.00	全国地产	深圳	8.92	9.70	111246	103440	  1.08	30	18	--  	     181372.02	
000032	深桑达Ａ	-1.73	17.03	-0.30	17.03	17.05	28858	1	-0.75	          1.24	17.29	18.05	17.03	17.33	--  	50750792	  0.98	元器件	深圳	5.89	17.59	14547	14311	  1.02	81	21	--  	      23286.32	
000034	深信泰丰	--  	27.95	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	27.95	   283.01	0	  0.00	综合类	深圳	0.00	27.95	0	0	--  	0	0	--  	      34006.42	
000035	中国天楹	--  	15.35	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	15.35	    58.95	0	  0.00	环境保护	江苏	0.00	15.35	0	0	--  	0	0	--  	      40355.07	
