历史行情.指标排序 市场:沪深Ａ股 日期:2016-05-12,四 指标:QJFX QP-JK 
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  SD	  ED	  TO	  TC	  QJZF	  QSZF0	  QSYJS0	  WTP1	  MKDJS0	
000007	全新好					1160512.0	1160513.0	23.790	23.790	0.000	6.969	4.000	1.000	19.000	
600857	宁波中百					1160512.0	1160513.0	16.790	16.790	0.000	8.814	21.000	1.000	16.000	
300192	科斯伍德					1160512.0	1160513.0	15.350	13.820	-9.967	6.228	22.000	1.000	12.000	
600377	宁沪高速	1.07	8.50	  794.4万	 6713万	1160512.0	1160513.0	8.500	8.440	-0.706	2.056	19.000	1.000	11.000	
600132	重庆啤酒	2.33	15.84	   1210万	  1.84亿	1160512.0	1160513.0	15.840	15.570	-1.705	11.135	0.000	0.000	10.000	
002385	大北农	0.73	8.32	   6187万	  5.09亿	1160512.0	1160513.0	8.320	8.140	-2.163	10.149	0.000	0.000	10.000	
002100	天康生物	-2.30	8.94	  842.1万	 7466万	1160512.0	1160513.0	8.940	9.250	3.468	2.778	22.000	1.000	10.000	
002039	黔源电力	10.01	20.88	   1697万	  3.42亿	1160512.0	1160513.0	20.880	20.790	-0.431	15.436	18.000	1.000	10.000	
000407	胜利股份	2.56	6.82	   1262万	 8412万	1160512.0	1160513.0	6.820	6.740	-1.173	1.506	0.000	0.000	10.000	
000089	深圳机场	0.00	8.17	   1278万	  1.03亿	1160512.0	1160513.0	8.170	8.170	0.000	3.157	19.000	1.000	10.000	
600537	亿晶光电	8.59	14.67	   3600万	  5.06亿	1160512.0	1160513.0	14.670	14.590	-0.545	6.341	0.000	0.000	9.000	
600521	华海药业	1.33	28.90	   1103万	  3.19亿	1160512.0	1160513.0	28.900	29.070	0.588	10.616	6.000	1.000	9.000	
600335	国机汽车	-0.52	17.07	  255.5万	 4300万	1160512.0	1160513.0	17.070	17.850	4.569	3.839	0.000	0.000	9.000	
600054	黄山旅游	0.04	25.27	  226.8万	 5731万	1160512.0	1160513.0	25.270	25.840	2.256	4.955	15.000	1.000	9.000	
000918	嘉凯城	9.93	6.09	   1.13亿	  6.84亿	1160512.0	1160513.0	6.090	6.020	-1.149	31.441	3.000	1.000	9.000	
000761	本钢板材	0.16	6.10	   1356万	 8308万	1160512.0	1160513.0	6.100	5.990	-1.803	0.503	17.000	1.000	9.000	
600696	匹凸匹					1160512.0	1160513.0	16.900	16.900	0.000	17.036	16.000	1.000	8.000	
002714	牧原股份	1.00	56.78	  672.5万	  3.73亿	1160512.0	1160513.0	56.780	56.890	0.194	3.700			8.000	
002567	唐人神	6.64	13.50	   3950万	  5.23亿	1160512.0	1160513.0	13.500	14.110	4.519	17.290	3.000	1.000	8.000	
300340	科恒股份	10.01	34.73	   1837万	  5.98亿	1160512.0	1160513.0	34.730	38.200	9.991	56.879	5.000	1.000	7.000	
300118	东方日升	4.66	16.84	   3248万	  5.35亿	1160512.0	1160513.0	16.840	17.180	2.019	6.576	16.000	1.000	7.000	
002654	万润科技					1160512.0	1160513.0	15.570	15.570	0.000	7.379			5.000	
002458	益生股份	-3.23	45.19	  400.5万	  1.81亿	1160512.0	1160513.0	45.190	45.400	0.465	7.941	15.000	1.000	5.000	
002124	天邦股份	-1.52	25.32	  445.1万	  1.12亿	1160512.0	1160513.0	25.320	25.850	2.093	5.124	23.000	1.000	5.000	
600732	*ST新梅					1160512.0	1160513.0	7.670	7.670	0.000	0.000	0.000	0.000	0.000	
600710	*ST常林					1160512.0	1160513.0	9.360	9.360	0.000	0.000	0.000	0.000	0.000	
603998	方盛制药	-0.97	13.30	  914.9万	  1.19亿	1160512.0	1160513.0	13.300	13.060	-1.805	-20.122		0.000	0.000	
603997	继峰股份	-3.17	17.41	  385.6万	 6669万	1160512.0	1160513.0	17.410	17.500	0.517	-8.088			0.000	
603993	洛阳钼业					1160512.0	1160513.0	3.370	3.370	0.000	0.597	2.000	0.000	0.000	
603989	艾华集团	-1.05	26.38	  187.9万	 4920万	1160512.0	1160513.0	26.380	26.280	-0.379	-5.806		0.000	0.000	
603988	中电电机	-9.99	54.50	  188.5万	  1.06亿	1160512.0	1160513.0	54.500	49.050	-10.000	-18.724		0.000	0.000	
603979	金诚信	-1.76	22.37	  288.6万	 6423万	1160512.0	1160513.0	22.370	22.410	0.179	-6.469			0.000	
603969	银龙股份	-1.30	12.14	  287.2万	 3439万	1160512.0	1160513.0	12.140	12.360	1.812	-6.787			0.000	
603968	醋化股份	-0.67	25.38	  319.1万	 7842万	1160512.0	1160513.0	25.380	24.640	-2.916	-14.176		0.000	0.000	
603939	益丰药房	-1.86	30.10	 917529	 2735万	1160512.0	1160513.0	30.100	30.120	0.066	-3.923			0.000	
603918	金桥信息					1160512.0	1160513.0	68.320	68.320	0.000	4.242		0.000	0.000	
603901	永创智能	1.51	29.65	  261.6万	 7478万	1160512.0	1160513.0	29.650	31.450	6.071	1.517		0.000	0.000	
603899	晨光文具	0.34	17.47	  322.7万	 5531万	1160512.0	1160513.0	17.470	17.690	1.259	-0.730			0.000	
603898	好莱客	1.86	33.97	  225.2万	 7526万	1160512.0	1160513.0	33.970	33.830	-0.412	3.646		0.000	0.000	
603889	新澳股份	5.54	12.57	  567.1万	 7006万	1160512.0	1160513.0	12.570	11.970	-4.773	-23.269			0.000	
数据来源:通达信
